ID,eyetrial,window,Condition,sum,Target_obj,Target_subj,Target_prop,SubjComp_prop,ObjComp_prop,Distr_prop,GivenSubj_prop,GivenObj_prop,surveyExclude,BL_Pic,Comp_subj_pic,First_pic,lgerror,excludeLargeError,excludeTriggerError,excludeRefError
38,99,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
18,22,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,1,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
18,22,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,1,panda_bagel,panda_bagel,panda_bagel,1,0,0,0
31,26,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
5,51,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
35,38,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
20,22,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
22,84,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
4,73,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,1,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
8,92,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
15,98,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
25,73,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
32,71,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
24,90,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,1,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
24,22,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,1,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
24,22,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,1,zebra_bagel,zebra_bagel,zebra_bagel,1,0,0,0
28,19,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
34,18,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,1,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
7,39,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
30,19,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
18,101,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,1,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
14,76,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
12,39,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
35,42,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
37,104,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
22,40,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
17,74,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
18,67,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,1,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
3,47,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
23,63,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
36,36,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
18,44,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,1,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
7,103,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
9,72,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
33,22,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
34,41,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,1,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
22,90,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
28,112,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
27,83,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
