ID,eyetrial,TL_early,TL_prenuclear,TL_nuclear,TL_adverb,TR_early,TR_prenuclear,TR_nuclear,TR_adverb,BR_early,BR_prenuclear,BR_nuclear,BR_adverb,BL_early,BL_prenuclear,BL_nuclear,BL_adverb
1,100,0,0,0,0,0,0,0,0.09890180878552972,0,0.0702842377260982,0.026614987080103358,0,0,0,0,0.005813953488372093
1,101,0,0.017962308598351,0,0,0,0.016431095406360424,0,0,0,0.01154299175500589,0,0.014958775029446408,0,0,0.022732626619552415,0.11849234393404005
1,102,0,0,0,0,0,0,0.032020473129018165,0.11122901192185257,0,0.01654079021284564,0,0,0,0.04032207727357843,0,0
1,103,0.010811130147102263,0.033733089147515806,0,0,0,0.00815265552076564,0,0.11076977609735925,0,0.007680037809416908,0,0,0,0,0,0
1,104,0.0351060323041424,0.012306339962641468,0,0,0,0.041259202285463134,0,0.04950005493901769,0,0,0.03142511811888803,0,0,0,0,0.0074717064058894625
1,105,0,0,0,0,0,0,0,0,0.03310643564356436,0.03316831683168317,0,0,0.007920792079207921,0.010457920792079209,0.032363861386138615,0.11157178217821782
1,106,0,0,0,0,0,0,0,0,0,0.04249079252489429,0.014390942572636747,0.03301050334197245,0.022916382485336242,0.027008593643432,0,0.07120447415086618
1,107,0.025684833988268124,0.031152115724130076,0,0.05393245629022154,0,0.026140440799589954,0.022951193120337148,0,0.008542627712284298,0,0,0,0,0,0,0
1,108,0,0.01521216973578863,0,0.09946418673400259,0.0011701669027529716,0.01989283734680052,0,0,0,0,0,0,0,0.015520108394407834,0.018907433639219068,0.01625916117509392
1,109,0.03378706854642684,0.030323286339329122,0,0,0,0.030019445794846864,0.029290228488089452,0.04673067574137093,0,0,0,0,0,0,0,0
1,110,0,0,0,0.0342921041187799,0,0,0,0,0.022053798844505187,0.03373299372553892,0.0072063117351059205,0.057774740634900915,0,0.02739640926880785,0.03615580542958315,0
1,111,0,0,0,0,0,0.008103388054488299,0.025637443241355223,0.059378274537198746,0,0.048340901152637096,0,0,0.04855047153335662,0.010408662242403074,0,0
1,112,0,0,0.024736362452805624,0,0.003059497461268064,0.05708892071344877,0.008787918239812524,0,0,0,0,0,0,0,0,0.05383413618018487
1,17,0,0.022039246622621043,0.004930480228774283,0.041563948328567205,0,0,0.03387239917167932,0,0.027610689281135983,0.006902672320283996,0,0,0.0023666305098116558,0.006409624297406567,0,0
1,18,0,0,0.0047230571060541005,0,0.014598540145985401,0,0,0,0,0.024951099661275702,0.011926911883975001,0,0.0166022613424932,0.025619006726778304,0,0.0342540909307762
1,19,0,0,0,0,0,0,0,0,0.009313998884551032,0.03491355270496375,0.023034021193530395,0.01015058561070831,0.01795872838817624,0.03625209146681539,0,0.04422755158951478
1,20,0.005929146696971194,0.009387815603537724,0.00691733781313306,0.019665003211621127,0.0034092593507584366,0,0.011611245614901922,0.07668363061416078,0.015316962300508918,0.04891546025001235,0,0,0,0,0,0
1,21,0,0,0,0.030818399726058668,0,0.010386942129893847,0.0365255107864399,0,0.014096564319141651,0.0554731195069056,0,0.030304759730624357,0,0,0.0038237644104554274,0
1,22,0,0.019899764150943397,0,0.049380896226415096,0,0,0.012627751572327045,0.04446737421383648,0.00884433962264151,0.014003537735849057,0.0028498427672955973,0,0.020440251572327043,0.01729559748427673,0.008746069182389937,0
1,23,0,0,0,0.04611732790776534,0,0,0,0.03163299907959115,0,0,0,0,0,0,0,0.08080220898125272
1,24,0,0,0.01655269727558884,0.0475415174210355,0,0.01932052534462173,0,0.04873548247042223,0,0.051666123955280585,0,0.017638120047758603,0,0.01926625420601324,0,0
1,25,0,0.010784027980180706,0,0,0,0,0.010201107548819586,0.03515010201107549,0,0,0,0,0,0,0,0.025240454677936463
1,26,0,0,0,0.01236652594983859,0.011522224981375714,0.009783958281599205,0.009187981127390117,0.011820213558480258,0,0,0,0.04653588279115967,0.004817481996523466,0.061882294512043703,0,0
1,27,0.030474359699214113,0.05382484310510544,0,0,0,0,0,0.04364787697178719,0,0,0.005653870074065698,0,0,0,0.03539322666365127,0
1,28,0,0,0.054517319366742055,0.02886561123675753,0,0.00987977621711701,0.026663492441376026,0.037436019521485536,0,0,0,0,0,0,0,0
1,29,0,0.034425253126861226,0.008993448481238833,0,0,0.06337105419892794,0,0.01643835616438356,0,0,0,0,0,0,0.017153067301965457,0.026325193567599763
