"mt_id","var3","dist","vel","acc","subject_nr","Condition","Target_subj","Target_obj","Target_pic","Target_pos","responded_correct","initiation_time","AUC","RT"
"id45","A",0,0,0,99,"GC","panda","lemon","panda_lemon","TR_Pic",1,863.045251812374,109957.254302626,3752.3706600538
"id46","A",0,0,0,99,"GC","zebra","kiwi","zebra_kiwi","BR_Pic",1,178.675581892086,11455.2141610472,638.127078186022
"id47","A",0,0,0,99,"GG","panda","brownie","panda_brownie","BR_Pic",0,1378.6326740999,-2888.31874658895,1745.10465075937
"id48","A",0,0,0,99,"GC","panda","cabbage","panda_cabbage","BR_Pic",1,80.1176387130283,4361.40993722714,801.176387130283
"id49","A",0,0,0,99,"CG","lion","cabbage","lion_cabbage","BL_Pic",1,117.443889171481,743.664654530352,559.256615102291
"id50","A",0,0,0,99,"CG","grizzly","bagel","grizzly_bagel","BR_Pic",1,0,-38,525.125691093504
"id51","A",0,0,0,99,"GG","panda","melon","panda_melon","BL_Pic",1,7.42412876563612,4087.59510807693,371.206438281806
"id52","A",0,0,0,99,"GG","grizzly","garlic","grizzly_garlic","TR_Pic",1,0,-3663.78855679859,493.178192312364
"id53","A",0,0,0,99,"GG","panda","cabbage","panda_cabbage","BL_Pic",1,0,-3294.04102235427,1054.19591660541
"id54","A",0,0,0,99,"CG","lion","kiwi","lion_kiwi","TR_Pic",1,0,1481.20777086508,302.240931449691
"id55","A",0,0,0,99,"GC","lion","garlic","lion_garlic","TL_Pic",1,0,24.9865516842892,182.306195729412
"id56","A",0,0,0,99,"GC","zebra","lemon","zebra_lemon","TR_Pic",0,22.1643681786815,-45520.5807278166,2216.43681786815
"id57","A",0,0,0,99,"GG","zebra","lemon","zebra_lemon","TL_Pic",1,0,-3083.77440805413,2167.29752451577
"id58","A",0,0,0,99,"GC","lion","bagel","lion_bagel","TR_Pic",1,0,-2844.73642770806,589.946825611405
"id59","A",0,0,0,99,"GG","zebra","melon","zebra_melon","BL_Pic",1,270.217101837355,7943.70235633058,1228.25955380616
"id60","A",0,0,0,99,"CG","grizzly","kiwi","grizzly_kiwi","TR_Pic",1,0,-7973.99031176791,812.266484739725
"id61","A",0,0,0,99,"CG","zebra","kiwi","zebra_kiwi","TR_Pic",1,252.001008245579,39730.877683505,1326.32109602937
